#Mod_Status,#Mod_Name
"+","ElSopa HD - Realistic Dark Elf Urns SE"
"+","JS Attunement Sphere and Lexicons SE"
"+","JS Dwemer Ichor Barrels SE"
"+","JS Common Cages SE"
"+","JS Essence Extractor SE"
"+","JS Dwemer Control Cube SE"
"+","JS Dwemer Puzzle Cube SE"
"+","JS Dragon Claws AE Anniversary Edition"
"+","JS Dwemer Artifacts SE"
"+","JS Instruments of Skyrim SE"
"+","JS Dwarven Oil SE"
"+","JS Purses and Septims SE"
"+","JS Shrines of the Divines SE"
"+","Enhanced Blood Textures"
"+","CC's Enhanced Ore Veins SSE - 2K - 9.0.1"
"+","Ore Vein Texture Fix"
"+","HD Reworked Falmer Architecture 4K"
"+","Ingredients"
"+","Dragonborn Ingredients"
"+","Dusty Vampire Dust"
"+","WiZkiD Hagraven Clutter and Bones"
"+","Rally's Handcarts"
"+","Rudy HQ - Hay SE"
"+","Hearthfire Oven"
"+","Skyland Imperial and Nordic Tents"
"+","TB's Improved Dust Particles"
"+","RUSTIC MAPS"
"+","Medieval Spirits"
"+","Nordic Stonewalls"
"+","ElSopa - Papers HD SE"
"+","Iconic's Remastered Paragon Gems"
"+","PELTAPALOOZA - Special Edition"
"+","Real Hearts 4K - 2K - 1K"
"+","Red Mountain Plume Visible from Skyrim"
"+","Rally's Riekling Outposts"
"+","WiZkiD Riften and Ratway"
"+","Skyrim 3D Rocks"
"+","RUGNAROK - Special Edition"
"+","HD Saw dust"
"+","Sigils of Shalidor"
"+","Beautiful Sigils of Shalidor - 8k 4k 2k"
"+","Skyrim 3D Signs"
"+","FYX - 3D Solitude SighPost - DockRopes"
"+","FYX - 3D Solitude SighPost - FarmRopes"
"+","FYX - 3D Solitude SighPost - RiftenRopes"
"+","WiZkiD Specific Signs"
"+","SkyFix SE - HD Blacksmith Signs"
"+","SMIM - Noble Skyrim Patch"
"+","4K SMIM Whiterun Bench"
"+","Stalhrim Source"
"+","Stockades of Skyrim 3D"
"+","HD Stone Quarry and Clay Deposit SE"
"+","Stones of Solitude - Better Blended Rock Piles"
"+","Immersive Tanning Rack Replacer"
"+","Vanilla Table Replacers"
"+","Skyrim 3D Furniture"
"+","Skyrim 3D Furniture SMIM patch"
"+","Noble Furniture"
"+","Noble Furniture SMIMed - Water for the Wash Basin"
"+","Better Chests"
"+","Rally's Display Cases"
"+","Rally's Market Stalls"
"+","DMT's Underforge SE"
"+","Unique Skulls HD"
"+","Less Bright Vvardenfell 3D Plume for ENB"
"+","Water in Wells - mesh-only animated wells"
"+","WEBS S.E"
"+","SSE-SRO - Enhanced Spidersac"
"+","Rally's Werewolf Totems"
"+","R's Windmill"
"+","R's Windmill - DynDOLOD patch"
"+","RUSTIC WINDOWS - Special Edition"
"+","Book Covers Skyrim - Lost Library"
"+","Mount Anthor Dragon Fix"
"+","Hearthfires Houses Building Fix"
"+","Freed Prisoner Uses Items"
"+","Dwemer Ballista Crash fix"
"+","UI_separator"
"+","SmoothCam"
"+","Improved Camera SE"
"+","Improved Camera OStim configuration"
"+","QuickLoot EE"
"+","SkyHUD"
"+","TrueHUD - HUD Additions"
"+","Dear Diary Dark Mode (warm text)"
"+","iWant Widgets"
"+","Constructible Object Custom Keyword System"
"+","Constructible Object Custom Keyword System - Seperate Weapon and Armor"
"+","MCM Helper"
"+","JS Lockpicking UI SE"
"+","Jaxonz MCM Kicker SE"
"+","Stay At The System Page NG"
"+","Show Player In Menus"
"+","UIExtensions"
"+","moreHUD SE"
"+","Atlas Map Markers SE - Updated with MCM"
"+","Better Third Person Selection - BTPS"
"+","A Matter of Time - A HUD clock widget"
"+","Untarnished UI"
"+","RaceMenu"
"+","Plants n shit_separator"
"+","Grass Cache Fixes"
"+","Cathedral - 3D Pine Grass"
"+","Cathedral - 3D Pine Grass for ENB Complex Grass"
"+","Origins Of Forest - 3D Forest Grass"
"+","Origins of forest for ENB Complex Grass"
"+","Folkvangr - Grass and Landscape Overhaul"
"+","Folkvangr for ENB Complex Grass"
"+","QW's Grass Patch 2 - Origins of Forest - Cathedral - Folkvangr"
"+","QW Grass 2 for ENB Complex Grass"
"+","QW's Grass Patch 2 Pre-Cache for LOD"
"+","Cathedral - Plants"
"+","Cathedral - Mushrooms"
"+","High Poly Blackreach Mushrooms"
"+","Rally's Blackreach Mushrooms"
"+","Blackreach Tentacle Mesh Fix"
"+","Harvestables Cabbages Addon for High Poly Project"
"+","High Poly Canticle Tree"
"+","Cathedral - 3D Clover Plant"
"+","Creep Cluster - Ultimate Planter Solution"
"+","Deathbell by Mari"
"+","Dragons tongue by Mari"
"+","High Poly Gleamblossoms"
"+","Glowing mushrooms by Mari"
"+","AnimTentacles4GlowingMushroom"
"+","Jazbay by Mari"
"+","Juniper by Mari"
"+","Cathedral - 3D Lavender"
"+","Cathedral - 3D Mountain Flowers"
"+","Cathedral - 3D Mountain Flowers Hearthfire Patch"
"+","Thicket replacer with Nettle"
"+","Nightshade by Mari"
"+","Nirnroot by Mari"
"+","Poison Bloom Retexture"
"+","Cathedral - 3D Snow Berries"
"+","Cathedral Snowberries - Inventory - Wreath - Hearthfires Planter"
"+","Rally's Solstheim Plants"
"+","High Poly Soul Husks"
"+","Swamp fungal pod by Mari"
"+","Cathedral - 3D Sword Ferns"
"+","Cathedral - 3D Thistle"
"+","High Poly Trama Roots"
"+","Tundra berries"
"+","Cathedral - 3D Tundra Cotton"
"+","Moss Rocks"
"+","Better Blended Mushrooms"
"+","Immersive Fallen Trees SSE"
"+","Immersive Fallen Trees Patch"
"+","Skyrim 3D Landscapes"
"+","Official Unique Flowers and Plants SSE"
"+","Simple Snow Improvements - Giant Obelisks (BOS)"
"+","Aetherium Falmer Cave Ceiling Glow"
"+","Basic Dining Set Replacer"
"+","Bee Husk - Replacer - Pfuscher"
"+","WiZkiD Carriages"
"+","RUSTIC CLUTTER COLLECTION - Special Edition"
"+","Happy Little Trees"
"+","Skyland Happy Little Trees Bark"
"+","Blubbos Tree Replacer for Reach"
"+","Blubbos Tree Replacer for Reach - cliffs"
"+","Aspens Ablaze"
"+","Happy Little Trees Add-On - DynDOLOD 3"
"+","Bent Pines II"
"+","World Expansion_separator"
"+","ELAF POI - Points of Interest"
"+","Unmarked Locations Pack"
"+","Watchtowers Of Skyrim"
"+","Hidden Hideouts of Skyrim SE"
"+","Daedric Shrines - Azura"
"+","New Shrine of Boethiah SE"
"+","Daedric Shrines - Clavicus Vile"
"+","Daedric Shrines - Hermaeus Mora"
"+","Daedric Shrines - Hircine"
"+","Daedric Shrines - Malacath"
"+","Daedric Shrines - Mehrunes Dagon"
"+","Daedric Shrines - Mephala"
"+","Daedric Shrines - Molag Bal"
"+","New Statue of Namira"
"+","Daedric Shrines - Nocturnal"
"+","Daedric Shrines - Peryite"
"+","Daedric Shrines - Sanguine"
"+","Daedric Shrines - Sheogorath"
"+","New Vaermina Statue"
"+","New Dibella Statues SE 2.0"
"+","Statue of Sithis"
"+","Night Mother"
"+","Better Dwemer Exteriors SSE"
"+","The Great Cities - Resources"
"+","The Great Town of Karthwasten SSE"
"+","The Great Village of Old Hroldan SSE"
"+","The Great Town of Ivarstead SSE"
"+","The Great Town of Shor's Stone SSE"
"+","The Great Village of Mixwater Mill SSE"
"+","The Great City of Solitude SSE"
"+","The Great Village of Kynesgrove"
"+","The Great City of Rorikstead SSE Edition"
"+","The Great City of Dragon Bridge SSE Edition"
"+","The Great City Of Falkreath SSE Edition"
"+","The Great City Of Morthal SSE Edition"
"+","The Great City Of Dawnstar SSE Edition"
"+","The Great City of Solitude SSE - USSEP Patch"
"+","The Great City Of Winterhold SSE Edition"
"+","Spaghetti's Cities - Windhelm"
"+","Windhelm Bridge Overhaul"
"+","Windhelm Bridge Stairs"
"+","Spaghetti's Cities - Whiterun"
"+","Fortified Whiterun"
"+","Markarth - City of Stone"
"+","Better Windhelm Ground Meshes - With Parallax Support"
"+","City Entrances Overhaul - Windhelm"
"+","JK's Castle Dour"
"+","JK's The Bards College"
"+","JK's Sinderion's Field Laboratory"
"+","JK's Septimus Signus's Outpost"
"+","JK's Sky Haven Temple"
"+","JK's High Hrothgar"
"+","JK's Jorrvaskr"
"+","JK's Haelga's Bunkhouse"
"+","JK's Temple of Talos"
"+","JK's Temple of the Divines"
"+","JK's Temple of Kynareth"
"+","JK's Temple of Dibella"
"+","JK's The Temple of Mara"
"+","JK's Riverwood Trader"
"+","JK's Understone Keep"
"+","JK's The Hag's Cure"
"+","JK's Arnleif and Sons Trading Company"
"+","JK's Silver-Blood Inn"
"+","JK's Mistveil Keep"
"+","JK's The Ragged Flagon"
"+","JK's The Pawned Prawn"
"+","JK's Elgrim's Elixirs"
"+","JK's The Bee and Barb"
"+","JK's Palace of the Kings"
"+","JK's New Gnisis Cornerclub"
"+","JK's Sadri's Used Wares"
"+","JK's White Phial"
"+","JK's Candlehearth Hall"
"+","JK's Blue Palace"
"+","JK's Radiant Raiment"
"+","JK's Angeline's Aromatics"
"+","JK's The Winking Skeever"
"+","JK's Sleeping Giant Inn"
"+","JK's Dragonsreach"
"+","JK's The Bannered Mare"
"+","JK's The Drunken Huntsman"
"+","JK's Warmaiden's"
"+","JK's Belethor's General Goods"
"+","JK's Arcadia's Cauldron"
"+","Ryn's Mistwatch Folly"
"+","Ryn's Karthspire"
"+","Ryn's Lund's Hut"
"+","Ryn's Anise's Cabin"
"+","Ryn's Saarthal"
"+","Ryn's White River Watch"
"+","Ryn's Western Watchtower"
"+","Ryn's Halted Stream Camp"
"+","Ryn's Goldenglow Estate"
"+","Ryn's Bleak Falls Tower"
"+","Ryn's Crabber's Shanty and Titanclaw Lair"
"+","Ryn's Dragon Mounds"
"+","Ryn's Farms"
"+","The Rift's Rest"
"+","The Rift's Rest - HDT SMP outfit"
"+","The Rift's Rest - Ryn's Farms patch"
"+","The Rift's Rest (Ostim)"
"+","Riften Extension - Southwoods District"
"+","The Rift's Rest - Riften Extension Southwoods District Patch"
"+","Ryn's Farms - Riften Extension Southwoods District Patch Collection"
"+","Auri Southwoods Patch"
"+","Caught Red Handed - Quest Expansion"
"+","Rift's Rest Vanilla Body Patch"
"+","JK's Interiors Patch Collection"
"+","Housing_separator"
"+","Home in a Hat - Haven Bag inspired house"
"+","Zulfardin"
"+","Providence and Pestilence"
"+","King of Worms I Queen of Dawn"
"+","Waking Nightmare"
"+","Krovaxis"
"+","Identity Crisis"
"+","The Tale of Tsatampra Xiros"
"+","Traveller's Inn - Player Home"
"+","Routa - Stormcloak and Warrior cabin"
"+","Elysium Estate SSE"
"+","Whiterun Safehold"
"+","Sapphire Castle -SE by LGG"
"+","Player Character_separator"
"+","SkySight Skins - Ultra HD Male Textures and Real Feet Meshes (2K1K VANILLA)"
"+","Schlongs of Skyrim AE"
"+","SkySight Skins – Schlongs of Skyrim"
"+","Slightly-Improved Male Penis for HIMBO"
"+","BHUNP v4 SSE"
"+","Reverie Skin"
"+","MSF - More Sliders for Feet CBBE - BHUNP (High Heel)"
"+","Feminine Khajiit Textures (Grey Cat and Leopard) [UNP-BHUNP]"
"+","Feminine Argonian Textures (Chameleon and Lizard) [UNP-BHUNP]"
"+","Masculine Khajiit Textures (Grey Cat and Leopard) [SOS-FULL]"
"+","Masculine Argonian Textures (Chameleon and Lizard) [SOS-FULL]"
"+","Highly Improved Male Body Overhaul"
"+","Briarheart Fix for HIMBO with USSEP"
"+","Slof's Fluffy Khajiit Tails SSE"
"+","PC - Head_separator"
"+","High Poly Head SE"
"+","Expressive Facegen Morphs SE"
"+","Expressive Facial Animation -Male Edition-"
"+","Waifu Expression Redux (With High Poly Head Support)"
"+","BnP teeth overhaul"
"+","The Eyes of Beauty - Ai Remastered"
"+","The Eyes of Beauty Vampire Eyes SE AI"
"+","PC - Hair & Makeup_separator"
"+","Vanilla Makeup HD - HD Racial Colors and Makeup for all Races and Genders - SE"
"+","BnP F Makeup"
"+","BnP M Makeup"
"+","VHR - Vanilla Hair Replacer"
"+","KS Hairdos SSE"
"+","Salt and Wind - KS Hairdo's Retexture"
"+","KS Hairdos - HDT SMP (Physics)"
"+","ApachiiSkyHair SSE"
"+","ApachiiSkyHair - Males"
"+","Salt and Wind - Rough Hair for KS Hairdos SE"
"+","Salt and Wind - Rough Hair for Apachii Sky Hair SE"
"+","Salt and Wind - Rough Hair for Apachii Sky Hair Males"
"+","Valkyr HDT-SMP Hairstyles"
"+","Valkyr HDT-SMP Hairstyles 02"
"+","PC - Overlays & Tattoos_separator"
"+","Hvergelmir's Aesthetics - Beards"
"+","Realistic Hair Colors"
"+","Koralina's Makeup Tweaks - 4k 2k"
"+","Koralina's Freckles and Moles - 4k 2k"
"+","Koralina's Eyebrows for High Poly Head"
"+","Female Makeup Suite - Face - 4K"
"+","Lamenthia's Marks of Beauty"
"+","SG Female Eyebrows"
"+","Hvergelmir Brows and SG Eyebrows for High Poly Head"
"+","SkFO SE -Skin Feature Overlays- 4K"
"+","Pubes Forever SSE"
"+","Lyru's Tattoo pack collection"
"+","Lyru's Tattoo pack collection 2"
"+","ZMDs Feet and Nail Overlays Lite"
"+","ZMD's Hand Nails Art Texture"
"+","WNB -Weathered Nordic Bodypaints SE- 4K"
"+","Wolfpaint - Face - Racemenu Overlays - Male and Female"
"+","(2) Community Overlays 1 - Main - UNP 4K"
"+","(3) Community Overlays 2 - Main - UUNP and Male"
"+","(3) Community Overlays 3 - Main - UUNP and Male"
"+","Bodyslide Presets_separator"
"+","BodySlide and Outfit Studio"
"+","D-sney Mommy NG - BHUNP Bodyslide Preset"
"+","Hardass warrior preset"
"+","Sswaye's EX Girlfriend I BHUNP v3 I Bodyslide Preset"
"+","Curse of Eden (BHUNP and CBBE 3BA Bodyslide Preset)"
"+","Greek God -- HIMBO Bodyslide Preset"
"+","HIMBO - KASBO Bodyslide preset"
"+","Norse God -- HIMBO Bodyslide Preset"
"+","Maffig HIMBO Body Preset"
"+","Animations_separator"
"+","Conditional Expressions - Subtle Face Animations"
"+","Conditional Expressions for NPCs"
"+","Animated Ivy"
"+","CG4 Snow Effects SE"
"+","True Directional Movement - Modernized Third Person Gameplay"
"+","True Directional Movement - Tail Animation Fix"
"+","Animated Potions"
"+","Smaller and Better Blood Potion mesh patch"
"+","Dandelions - Realistic Dandelion Seeds - 4K-2k-1K"
"+","Animations - DAR & AMR_separator"
"+","Animation Motion Revolution"
"+","Precision"
"+","Immersive Interactions - Animated Actions"
"+","Leviathan Animations II - Male Idle Walk And Run"
"+","Leviathan Animations II - Female Idle Walk And Run"
"+","Leviathan Animations II - Sprint"
"+","Goetia Animations - Conditional Shouts"
"+","Goetia Animations - Sneak Magic"
"+","Goetia Animations - Enchanted Staves"
"+","Goetia Animations - Magic Spell Casting"
"+","Vanargand Animations - Sneak Crossbows"
"+","Vanargand Animations - Crossbows"
"+","Vanargand Animations - Archery"
"+","EVG Animation Variance"
"+","EVG Conditional Idles"
"+","Conditional HH Idles"
"+","Conditional HH Walk"
"+","Modern Female Sitting Animations Overhaul"
"+","Conditional High Heel Sitting"
"+","Gesture Animation Remix (DAR)"
"+","Gesture Animation Remix (DAR) - shield patch"
"+","Go to bed"
"+","Go To Bed - DAR patch"
"+","DAR - Dynamic Swimming"
"+","Eating animations - My HD version SE"
"+","Take a Seat - New DAR Sitting Animations"
"+","NPC Animation Remix (DAR)"
"+","Lively cart driver animation replacer - SE or AE"
"+","Lively Children Animations (DAR)"
"+","Feminize - NPC Turning animations"
"+","Dynamic Female Hand Warming"
"+","Dynamic Female Ledge Sitting"
"+","Dynamic Female Wall Leaning"
"+","Seamless Varied Feminine Idles OAR"
"+","SVFI - EVG Conditional Idles Patch"
"+","Animation Queue Fix"
"+","Vanilla Armor_separator"
"+","ElSopa - Iron Weapons Redone SE"
"+","ElSopa - Quivers Redone SE"
"+","Arrow Nocks"
"+","Better fur - Fine clothes"
"+","Better Fur - fine patch"
"+","RUSTIC CLOTHING - Special Edition"
"+","Skaal clothes HD revival"
"+","CC's HD Dwemer Weapons and Armor"
"+","Frankly HD Dawnguard Armor and Weapons"
"+","Frankly HD Thieves Guild Armors"
"+","Frankly HD Nightingale Armor and Weapons [SSE]"
"+","Frankly HD Miraak [SSE]"
"+","Elven Armors and Weapons Retexture SE"
"+","Blades Armors and Weapons Retexture SE"
"+","Steel Armors and Weapons Retexture SE"
"+","Iron Armors and Weapons Retexture SE"
"+","Orcish Armors and Weapons Retexture SE"
"+","Ebony Armors and Weapons Retexture SE"
"+","Dragon Weapons and Armor Retexture SE"
"+","Glass Armors and Weapons Retexture SE"
"+","Daedric Armors and Weapons Retexture SE"
"+","Ancient Nord Armors and Weapons Retexture SE"
"+","Falmer Armors and Weapons Retexture SE"
"+","Nordic Carved Armors and Weapons Retexture SE"
"+","Leather Armors Retexture SE"
"+","Silver Armor and Weapons Retexture SE"
"+","Wolf Armor and Weapons Retexture SE"
"+","Dark Brotherhood Armor SE"
"+","CC’s HQ Guard Shields SSE - 2K - 2.1"
"+","Guard Shields Reborn"
"+","Guards Armor Replacer - Guard Shields Reborn patch"
"+","Remiros' Ancient Falmer Armor HD"
"+","Remiros' Chitin Armor HD"
"+","Realistic Armor"
"+","Guards Armor Replacer SSE"
"+","Heavy Legion SSE"
"+","Additional Armor_separator"
"+","JS Armored Circlets SE"
"+","Reyda's Necklace by Ave"
"+","Reyda's Jewelry Box by Ave"
"+","Fashions Of The Banditry- A bandit-focused Armor Pack (BHUNP-CBBE-3BA-HIMBO)"
"+","Steel Fashions- A Steel Armor Variation mod (BHUNP- CBBE- CBBE 3BA and HIMBO)"
"+","Forsworn Fashions- More Variety for forsworn (Armor Pack- BHUNP CBBE 3BA and HIMBO)"
"+","Fashions of The Huntsmen- A Leather Armor variation mod (Armor Pack- CBBE-3BA and HIMBO)"
"+","EGIL Demon Hunter II - Templar (BHUNP)"
"+","Regalia of the Scorned"
"+","Bladedancer's Edge"
"+","Dwemer Researcher Armor and Outfit"
"+","League of Assassins Armor"
"+","Knight of The Village Set BHUNP SSE"
"+","Knight of The Village BHUNP SSE Extended Textures 4K"
"+","Archmage Khadgar's Robes SE"
"+","Dark Dreams"
"+","Practical Pirate Outfit"
"+","Sharkish Piercings - BHUNP and 3BA Body Piercings"
"+","Aradia Kato Outfit- -BHUNP 3BBB- -CBBE 3BBB-"
"+","Armors of the Velothi Pt. I"
"+","Rugged Cangaceiro's Armor (CBBE-3BA and HIMBO)"
"+","Traveling Mage HDT-SMP Armor"
"+","DCR - King Crusader Mega Pack"
"+","Cyrodiilic Thief Armor"
"+","Gigaduex's Armor Sets SE"
"+","Armor Bodyslide Conversions_separator"
"+","BHUNP Vanilla Outfits (AE)"
"+","Reasonable Physics for BHUNP Vanilla Outfits"
"+","Cyrodiilic Thief Armor - HIMBO Refit"
"+","Traveling Mage HIMBO"
"+","Rugged Cangaceiro's Armor HIMBO bodyslide files"
"+","Rugged Cangaceiro's Armor 3BA Bodyslide Files"
"+","Frankly HD Nightingale Armor - BHUNP Conversion"
"+","Frankly HD Miraak - BHUNP Conversion"
"+","Frankly HD Dawnguard Armor - BHUNP Conversion"
"+","Steel Fashions- HIMBO Bodyslide files"
"+","Steel Fashions- BHUNP Bodyslide files"
"+","Fashions Of The Banditry BHUNP Bodyslides"
"+","Fashions Of The Banditry HIMBO Bodyslides"
"+","Fashions Of The Huntsmen- BHUNP Bodyslide Files"
"+","Fashions Of The Huntsmen- HIMBO bodyslide files"
"+","Forsworn Fashions- BHUNP bodyslides"
"+","Fashions Of Forsworn HIMBO bodyslide Files"
"+","Realistic Armor - 3BA - BHUNP - CBBE"
"+","NordwarUA Armor Hub - HIMBO Refit"
"+","Gigaduex's Armor Sets SE - BHUNP Bodyslides"
"+","Guard Armor Replacer SE BHUNP Bodyslide"
"+","HIMBO NordwarUA - Guards Armor Replacer"
"+","Heavy Legion - HIMBO Refit"
"+","Archmage Khadgar's Robes - HIMBO Refit"
"+","Dark Dreams BHUNP Conversion"
"+","Practical Pirate Outfit BHUNP Bodyslide Conversion"
"+","Practical Pirate Outfit - HIMBO Refit"
"+","Dwemer Researcher BHUNP"
"+","KDCirclets Redone by zzjay"
"+","Armors of the Velothi Pt. I - HIMBO Refit"
"+","DCR - King Crusader Mega Pack - HIMBO Refit"
"+","4thUnknown's Dark Brotherhood Armor - HIMBO conversion"
"+","Dark Brotherhood Armor SE - BHUNP Conversion"
"+","Weapons_separator"
"+","Remiros' Hrothmund's Axe HD"
"+","Remiros' Dawnbreaker HD"
"+","Remiros' Bloodskal Blade HD"
"+","Remiros' Ebony Blade HD"
"+","Simply Destructive Dragonbone Weapons"
"+","Glass Blades SSE"
"+","Simply Ornate Orcish Weapons"
"+","Scimitar Replacer SE"
"+","Steel Weapons Replacer"
"+","Holsters"
"+","Silver Swords Replacer"
"+","Blade Sleeves"
"+","Longsword Scabbards"
"+","Tauriels Bow and Arrows"
"+","Tauriels Bow and Arrows plus Elven Bow and arrows Replacer"
"+","Auto-Equip Best Arrows"
"+","Gameplay_separator"
"+","RaceCompatibility with fixes for SSE"
"+","SunHelm Survival"
"+","SunHelm Small UI Icons"
"+","Andromeda - Unique Standing Stones of Skyrim"
"+","Andromeda - Metric Units"
"+","Book Of Shadows - Behaviour Based Stealth Additions"
"+","Take a Peek - New Stealth Mechanic"
"+","Animals Swim (Sort of)"
"+","Crimson Nirnroot Satchel - A 'Return to Your Roots' QoL Mod (ESL Flagged)"
"+","Dunmeri Outfits for Skyrim Dunmers (SPID)"
"+","Dynamic Things Alternative"
"+","Evolution - Skyrim Races Rejuvenated"
"+","Footprints"
"+","Footprints - ENB"
"+","SPID for Footprints"
"+","Footprints Sand Patch 0.9"
"+","Immersive Equipment Displays"
"+","Immersive Equipment Displays - Mura Presets"
"+","Immersive Equipment Displays - unequip when nude"
"+","Immersive Equipment Displays - Unequipped Helmets on Waist"
"+","Linen wrap recipe"
"+","Skyrim Reputation"
"+","Reading Is Good (SKSE)"
"+","Sacrilege - Minimalistic Vampires of Skyrim"
"+","Growl - Werebeasts of Skyrim"
"+","Adamant - A Perk Overhaul"
"+","Blade and Blunt - A Combat Overhaul"
"+","Chocolate Poise"
"+","Stoppage of Staggerlock"
"+","Stoppage of Stackerlock Player Support"
"+","Gameplay - Magic_separator"
"+","Hemomancy - Blood Magic"
"+","Spellsiphon - Immersive Combat"
"+","Mysticism - A Magic Overhaul"
"+","Abyss"
"+","Lunaris"
"+","Natura"
"+","Deadly Spell Impacts"
"+","Parallax Spell Impacts"
"+","Weapon Speed Fix"
"+","NPCs_separator"
"+","Milfactory Asset Hub"
"+","ColdSun's Pantheon - Assets"
"+","DIbella's Blessing"
"+","Sons of Nirn - Whiterun"
"+","NITHI NPC Enhancement - Riften"
"+","NITHI NPC ENHANCEMENT - The Thieves Guild"
"+","BB's The Dark Brotherhood NPC Overhaul Revisited"
"+","BB's Dark Brotherhood NPC Overhaul Revisited- Patches"
"+","BB's College of Winterhold NPC Overhaul Revisited"
"+","Dawnguard Sentries Plus SE"
"+","KS Hairdos for Dawnguard Sentries Plus SE"
"+","PAN_DevotedDames"
"+","Hoodless Senna"
"+","RS Children Overhaul"
"+","Realistic RS Children Overhaul"
"+","Realistic RS Children 4.7 Update"
"+","BnP - Child Skin Remastered"
"+","Improved Follower Dialogue - Lydia"
"+","Milfactory Housecarls"
"+","Improved Lydia Milfactory Housecarls patch"
"+","CiceReal Placer"
"+","CiceReal Placer - BHUNP - Bodyslide Outfit"
"+","Serana and Family - a visual replacer"
"+","Companions_separator"
"+","Pantheon - Vayne - Dunmer Spy - Drow Version - BHUNP"
"+","Song of the Green (Auri Follower)"
"+","Inigo Banter patch - sfts and Talwin fix"
"+","Song of the Green - OStim Patch"
"+","Song of the Green (Auri Follower) - Enhanced Voice"
"+","Auri (Song of the Green) QoL Patches"
"+","Majestic Auri - a visual replacer"
"+","Daegon - Standalone Custom Fully Voiced High Elf Follower"
"+","Pantheon - Daegon - High Elf Follower - BHUNP"
